'conectar'|tupachiy
(esp.) Andahuaylillas (<pradera cobriza, nombre transformado en diminutivo para evitar confusiones con Andahuaylas)|Antawaylla(cha)
(esp.) Angasmayo|Anqas Mayu
(esp.) Apurímac|Apurimaq; Apu Rimaq
(esp.) Arequipa (<Tras el volcán?, <Sí quédaos?)|Ariq Qhipa; Ariqhipa
(esp.) Arica|Arika
(esp.) Ausangate|Awsanqati
(esp.) Ayacucho (Huamanga)|Ayak'uchu
(esp.) Ayaviri|Ayawiri
(esp.) Bambamarca (<región de planicies)|Panpamarka
(esp.) Cajamarca (<tierra fría - cf. Kashamarka, tierra de espinas), (hist.) Caxamarca, Caxamalca [x=sh]|Qasamarka
(esp.) Calca|Kalka
(esp.) Callahuaya|Kallawaya
(esp.) Callejón de Huaylas|Waylas
(esp.) Canas (<luz [aym.])|K'ana
(esp.) Canchis|Qanchi
(esp.) Ccachín|Qachin
(esp.) Chachapoyas|Chachapuya
(esp.) Chiclayo|Chiklayu
(esp.) Chimbote (<valle del río Santa, 'chimpay' cruzar el río + esp. '-ote')|Chimbuti
(esp.) Chinchero (<sinchi 'fuerte'?)|Chinchiru
(esp.) Chucuito (<punta de casco?)|Chukuwitu
(esp.) Chumbivilcas|Ch'umpiwillka
(esp.) Cochabamba|Qhuchapampa
(esp.) Copacabana|Qutaqhawana
(esp.) Coropuna|Qurupuna
(esp.) Cotabamba (<llanura de molinos)|Kutapanpa
(esp.) Cuenca|Tumipampa
(esp.) Curahuasi|Qurawasi
(esp.) Cuyo Cuyo|Kuyu Kuyu
(esp.) Cuzco (Cusco)|Qusqu
(esp.) Huacarpay (<lugar de sacrificios?)|Wak'arpay
(esp.) Huallaga|Wallaqa
(esp.) Huamanga|Wamanqa
(esp.) Huanacaure|Wanakawri
(esp.) Huancane|Wankani
(esp.) Huancapi|Wankapi
(esp.) Huancavelica|Wank'a Willka
(esp.) Huancayo (<que tiene piedra [wank'ayuq] o <clan de los Wankas [wanka ayllu])|Wankayu
(esp.) Huanta|Wanta
(esp.) Huaraz (<amanecer)|Waras
(esp.) Huari|Wari
(esp.) Huarochirí|Waruchiri
(esp.) Huatanay|Watanay
(esp.) Huayllabamba (<llanura de prado verde florido)|Wayllapampa
(esp.) Huaypetue|Waypiti
(esp.) Huánuco|Wanuku
(esp.) Illampu (<rayo)|Illampu
(esp.) Illimani (<aym., águila dorada)|Illimani
(esp.) Juliaca|Chullasqa; Hullaqa
(esp.) Limatambo (<anfiteatro de conversatorios)|Limatanpu
(esp.) Livitaca|Liwitaka
(esp.) Llallagua|Llallawa
(esp.) Lucre|Lukri
(esp.) Macha|Macha
(esp.) Machu Picchu|Machupikchu
(esp.) Manañamca|Manaña
(esp.) Maras|Maras
(esp.) Maule|Mawlli
(esp.) Moquegua|Mukiwa
(esp.) Nazca|Nasqa; Naska
(esp.) Ocongate|Uqunqati
(esp.) Ollanta (<aym. vigía, observador)|Ullanta
(esp.) Ollantaytambo|Ullantaytampu
(esp.) Oruro|Uru-Uru
(esp.) Paucartambo|Pawqartampu
(esp.) Piquillacta (<pueblo de pulgas, denominado en el siglo diecisiete o dieciocho, nombre original probablemente Muyuna = curva, vuelta)|Pikillaqta
(esp.) Pisac|P'isaq
(esp.) Pomata|Pumata
(esp.) Potosí|P'utuksi; Putusi; Putusí
(esp.) Pucallpa (<tierra roja)|Pukallpa
(esp.) Puno|Punu
(esp.) Quillabamba (<llanura de hierro)|Killapampa; Killaypampa
(esp.) Quispicanchi (libre + Canchis)|Qispiqanchi
(esp.) Quito (< paloma silvestre)|Kitu
(esp.) Rímac|Mama Mayu; Rimaq
(esp.) Sacsayhuaman (<halcón satisfecho)|Sasawaman; Saksawaman; Sasaywaman; Saqsaywaman; Saksaywaman
(esp.) Sarayacu (<agua/río de maíz)|Sarayaku
(esp.) Saylla|Saylla
(esp.) Sicuani (<lugar poblado de paja)|Sikuwani
(esp.) Tambo|Tampu
(esp.) Tambobamba|Tampupampa
(esp.) Tambomachay (<recinto de alojamiento, albergue, almacén o nombre tribal Tampu + cueva)|Tampumach'ay
(esp.) Tapacarí|Tapakari
(esp.) Taquile (nombre del Conde Rodrigo de Taquila)|Intika
(esp.) Tauccamarca|Tawqamarka
(esp.) Urcos (<cerro)|Urqu
(esp.) Urubamba (<campo de arácnidos)|Urupampa
(esp.) Vilcabamba|Willkapampa
(esp.) Vilcanota|Willkamayu; Wilkanuta
(esp.) Vilcas Huamán (<halcón sagrado)|Willka Waman
(esp.) Vilcashuamán (<halcón sagrado)|Willkawaman
(esp.) Yauyos|Yawyu
(esp.) Yucay|Yukay
(esp.) río Lurín|Pachakamaq Mayu
(esp.) río Lurín (<centro, interior)|Rurin
(familia del amaranto)|kiwicha
(fig.) declarar|mast'aray
(fig.) embaucado|llut'asqa
(fonema consonántico fricativo, alveolar, sordo)|s
(fonema consonántico fricativo, velar, sordo)|h
(fonema consonántico lateral, alveolar, sonoro)|l
(fonema consonántico lateral, palatal, sonoro)|ll
(fonema consonántico nasal, alveolar, sonoro)|n
(fonema consonántico nasal, bilabial, sonoro)|m
(fonema consonántico nasal, palatal sonoro)|ñ
(fonema consonántico oclusivo, alveolar, aspirado, sordo)|th
(fonema consonántico oclusivo, alveolar, glotalizado, sordo)|t'
(fonema consonántico oclusivo, alveolar, simple, sordo)|t
(fonema consonántico oclusivo, bilabial, aspirado, sordo)|ph
(fonema consonántico oclusivo, bilabial, glotalizado, sordo)|p'
(fonema consonántico oclusivo, bilabial, simple)|p
(fonema consonántico oclusivo, post-velar, aspirado, sordo)|qh
(fonema consonántico oclusivo, post-velar, glotalizado, sordo)|q'
(fonema consonántico oclusivo, post-velar, simple, sordo)|q
(fonema consonántico oclusivo, velar, aspirado, sordo)|kh
(fonema consonántico oclusivo, velar, glotalizado, sordo)|k'
(fonema consonántico oclusivo, velar, simple, sordo)|k
(fonema consonántico vibrante, simple, alveolar, sonoro)|r
(fonema consonántico, africado, palatal, glotalizado, sordo)|ch'
(fonema consonántico, africado, palatal, simple, sordo - en Ancash /ts/)|ch
(fonema consonántico, africado, palatal, simple, sordo)|chh
(fonema consonántico, africado, retroflejo, simple, sordo, /ch/ con la lengua doblada hacia atrás, preservado solamente en los dialectos Wanka, Qasamarka, Inkawasi-Kañaris, Corongo [NW Ankash] y Yauyos, en otro lugar /ch/)|ch
(fonema semiconsonante bilabial, sonoro)|w
(fonema semiconsonante palatal, sonoro)|y
(fonema vocálico abierto bajo central del idioma quechua)|a
(fonema vocálico alto anterior del idioma quechua)|i
(fonema vocálico alto posterior no redondeada)|u
(grito del gallo)|ququruqu
(hist.) Tomebamba (<llanura de cuchillos de piedra)|Tumipampa
(lit.) diente de gato|michi khiru
(lit.) lenguaje humano|runasimi; runa simi
(lit.) nieve de estrella|Quyllur Rit'i
(lo que hay que hacer)|-na
(lo que sucede)|-y
(lo que sucederá)|-na
(mat /)|rak'iy; rakiy
(metal)|titi
(raiz comestible)|achakana
(se refiere exclusivamente a personas o animales)|pusay
(semi consonante labial)|w
(semi consonante palatal)|y
(semiconsonante labial sonora)|w
(semiconsonante palatal sonora)|y
(sinon.) willqo|mayt'umayt'u
(sinón.) Ayacucho (Ayakuchu)|Wamanqa
(su) delante|ñawpa
(suele emplearse en forma irónica)|chhika
(vocal abierta, baja central)|a
(vocal abierta, central y la de mayor frecuencia)|a
(vocal alta anterior no redondeada)|i
(vocal alta anterior redondeada)|u
(vocal baja central no redondeada)|a
(vulg.) campanilla|mayt'umayt'u
(vulg.) granadilla|luq'usti
(vulg.) verdolaga|lluthu lluthu
-illa|-cha
-illo|-cha
-ita|-cha
-ito|-cha
-ndo|-spa
-or|-q
-ía|-man
/a/ vocal baja central|a
/ch'/ consonante palatal africada y glotalizada|ch'
/ch/ consonante africada simple palatal|ch
/chh/ consonante africada aspirada palatal|chh
/h/ consonante fricativa glotal|h
/i/ vocal alta anterior|i
/k'/ consonante oclusiva velar glotalizada|k'
/k/ consonante oclusiva velar simple, equivalente a las letras k, ca, cu, qui del castellano cuando ocurre en la parte inicial de sílaba o palabra y su sonido oclusivo se fricativiza volviéndose muy equivalente a la j castellana cuando ocurre al final de una sílaba o palabra en varios lugares de habla quechua como en bolivia|k
/kh/ consonante oclusiva velar aspirada|kh
/l/ consonante lateral alveolar|l
/m/ consonante nasal bilabial|m
/n/ consonante nasal alveolar|n
/p'/ consonante oclusiva bilabial glotalizada|p'
/p/ consonante oclusiva bilabial simple|p
/ph/ consonante oclusiva bilabial aspirada|ph
/q'/ consonante oclusiva postvelar glotalizada|q'
/q/ consonante oclusiva postvelar simple, que no tiene su sonido equivalente en castellano e inglés, pero sí en aimara y quechua, este sonido oclusivo particular del quechua ocurre en la posición inicial y se fricativiza cuando ocurre en posición final de una sílaba o palabra en muchas variantes regionales como en Bolivia|q
/qh/ consonante oclusiva postvelar aspirada|qh
/s/ consonante fricativa alveolar|s
/t'/ consonante oclusiva alveolar glotalizada|t'
/t/ consonante oclusiva alveolar simple|t
/th/ consonante oclusiva alveolar aspirada|th
/u/ vocal alta posterior|u
/w/ glide o semiconsonante bilabial|w
/y/ glide o semiconsonante palatal|y
/ñ/ consonante nasal palatal|ñ
11,5 kilos|aysa; arruba
12,5 kilos|aysa; arruba
Abya Yala (término con que los Cuna de Panamá denominan al continente americano en su totalidad. El líder aymara Takir Mamani propone que todos los indígenas lo utilicen) (<tierra en plena madurez)|Awya Yala
Almacén (observado en predicciones de tiempo y cultivos): (a) Pléyades, (b) cola del Escorpión, (c) Híades (proveniencia: Misminay, Quispihuara, Sonqo, Yucay)|Qullqa
Altiplano|Qullaw
América|Awya Yala
Andes|Anti
Antiguo Testamento|Ñawpaq Tistamintu
Arado: constelación del Escorpión (proveniencia: Lucre)|Chaki Taklla
Biblia|Dyuspa Simin Qilqa
Boca del Sapo (Sapo = nube oscura en la vía láctea): Híades (proveniencia: Misminay)|Hamp'atuq Simin
Bolivia|Qullasuyu
Buen Año Nuevo|Musuq Watapi sumaq kawsay
Buenos días!|Allin p'unchay!
Carnaval|Karnawal
Cinco Almacenes: desde el Cordón de Orián hasta las Híades (proveniencia: Sonqo)|Pisqa Qullqa
Cinco Estrellas: Híades (proveniencia: Misminay)|Pisqa Quyllur
Constelación de Acuario|Mikikiray
Constelación de Libra|Chakana
Constelación de Virgo|Mamana
Corral de Llamas (constelación de 56 estrellas, proveniencia: Misminay)|Llama Kancha
Cristo|Kristu
Cruz Cuadrada (símbolo importante de la cosmología andina), Cruz del Sur, en algunos lugares también otras cruces celestiales|Chakana
Cruz Grande: (a) Betelgeuse, Rigel, Sirius, Procyon (cruz del suyu o cuarto del norte)|Hatun Krus
Cruz Pequeña: Cruz del Sur (Crux) (proveniencia: Sonqo)|Huch'uy Krus
Cruz de Dios el Padre (Papá Dios): cabeza del Escorpión (proveniencia: Misminay)|Papa Dyus Krus
Cruz de Madera o Cruz de Crucificación (Linun=Lat. Lignum): cabeza del Escorpión (proveniencia: Misminay)|Linun Krus
Cruz de Perdiz: Cruz del Sur (proveniencia: Chumbivilcas)|Yuthu Krus
Cruz de la Pasión|Pasyun Krus
Cruz de la Pasión (constelación, proveniencia: Lucre)|Pasyun Krus
Cruz del Calvario: (a) cabeza del Escorpión, (b) Betelgeuse, Rigel, Sirius y Procyon, (c) Procyon, Castor, cordón de Orión, beta Tauri, (d) cordón de Orión, tau Orionis y Rigel (proveniencia: Misminay, Sonqo)|Kalwaryu Krus
Cruz del Calvario: Cruz del Sur (proveniencia: Yucay)|Kalwaryu
Cruz del Sur|Chakana
Cuzco Alto|Hanan Qusqu
Cuzco Bajo|Urin Qusqu
Cuzco Inferior|Urin Qusqu
Cuzco Superior|Hanan Qusqu
Cuzco ¡tú que sólo al potente sueles sustentar donde estás!, ¡ayúdame!|Qusqu qhapaqpaq churaqllay yanapaway maypin kanki!
Cóndor Celestial Andino (Tres Estrellas, Cabrillas)|Kuntur
Cóndor: (a) cabeza del Escorpión, (b) cabeza = delta, epsilon, eta Canis Majoris, ala = alpha, beta, gamma Pyxidis, ala = alpha Monocerotis, cola = alpha Hydrae (proveniencia: Misminay)|Kuntur
Desaguadero, río en Bolivia (transscripción en quechua y aymara)|Risawariru
Di tu mentira si quieres, empero yo no|qan llullaypas ñuqan ari amataq
Dios|Dyus; Yus
Dios que da ser a lo que no es|ch'usaqta kachiq
Educación Intercultural Bilingüe|iskay simipi iskay kawsaypi yachay
El Pueblo (capital del distrito Cuyo Cuyo)|Llaqta Ayllu
El chofer va en la caseta (del camión)|Sinqachanpi chufir rishan
El que tiene gracia tiene derecho a la gloria (llegar al cielo)|grasyayuq hanaq pacha chayaqiyuqmi
En Lima (Rimaq) hay continuos nublados que nunca se deshacen las nubes|phuyuyllam phuyum Rimaqpi manan phuyu ch'iqirikunchu
España|Ispaña
Espíritu Santo|Ispiritu Santu
Estancia|Istansya
Estoy triste de eso|kaytaqá
Estrellas de Baile Circular: (a) gamma, delta, kappa, lambda Vela, (b) Corona Borealis (proveniencia: Sonqo)|Qhaswa Quyllur
Europa|Iwrupa
Feliz Navidad|Sumaq kawsay kachun Nawidad ch'isipi
Ica|Ika
Inka Rey|Inkarí; Inkarrí
José Gabriel Kunturkanki (nacido en 1743), organizó una sublevación contra los los españoles en 1780, por cuyas manos murió en el Qosqo en 1781|Tupaq Amaru; Thupa Amaru
La Paz (ciudad más grande de Bolivia)|Chukiyapu
Lago Poopó|Paryaqhucha
Lago Titicaca|Titiqaqa; Pukina Qhucha
Los siete niveles del camino sagrado de los Inkas|qanchis ñawi
Madre Cosmos|Pachamama; Pacha mama
Madre Espacio|Pachamama; Pacha mama
Madre Maíz|Saramama
Madre Mundo|Pachamama; Pacha mama
Madre Naturaleza|Pachamama; Pacha mama
Madre Tiempo|Pachamama; Pacha mama
Madre Tierra|Pachamama; Pacha mama
Madre Universal|Pachamama; Pacha mama
Mantaro (<río de destino)|Mantaru
Me llamo ...|Sutiyqa ....; Sutiymi ....
Montón de Almacén (observado en predicciones de tiempo y cultivos): Pléyades (proveniencia: Sonqo)|Qullqa Qutu
Montón: Pléyades (proveniencia: Sonqo)|Qutu
Muy bien, gracias [respuesta]|Waliqllapuni!
Nasca|Nasqa; Naska
Navidad|Nawidad
Nazca (un pueblo antiguo costeño, conocido por sus diseños gigantes)|Nasqa; Naska
No entiendo tus palabras|Palawrasniykita mana hap'inichu
No me mandes demasiado|yakta kamachiwaychu
Nuevo Testamento|Musuq Tistamintu
Ojo de piedra|Rumi Ñawi
Ojos de Cristo: alpha y beta Centauri (proveniencia: Misminay)|Kristuq Ñawin
Ojos de la Llama (dos estrellas en la Llama, que es una nube oscura grande en la Vía Láctea): alpha y beta Centauri (proveniencia: Misminay, Yucay, Sonqo, Lucre, Quispihuara)|Llamaq Ñawin; Llama Ñawi
Padrenuestro|Yayayku
Paracas (un pueblo antiguo costeño)|Parqa
Pascua|Paskuwa
Pasión (de Jesucristo)|Pasyun
Pentecostés|Pintikustis
Perla del Gran Precio|Sumaq Pirla
Plaza de Armas en la ciudad del Cuzco|Waqaypata
Pléyades|Qutu; Qullqa
Pléyades (grupo de estrellas pequeñas que amanecen el primero de agosto y son usadas para predicciones de cosecha, lit. los para mirar, castellanizado Cabañuelas) (proveniencia: Cuzco)|Qhawanillas
Puente: Cordón de Orión (proveniencia: Misminay)|Chakana; Chaka
Puente: delta, epsilon, eta Canis Majoris (proveniencia: Sonqo)|Chakanway
Puka Pukara (<fortaleza roja)|Puka Pukara
Pájaro de la puna que ante la presencia de extraños hace mucha bulla. A las mujeres chifladas (que se ríen con cualquiera) se las compara con la acaca|hak'akllu; akakllu; hak'aqllu; hak'achu
Q'enqo (<laberinto)|Q'inqu
Q'eros Altos, centro ceremonial de la nación Q'ero|Hatun Q'iru
Qolla Rey|Qullarí
Que come a su madre (línea zigzag al lado de la boca de la nube oscura Serpiente o Mach'aqway): pi, sigma, nu, tau Puppis (proveniencia: Misminay)|Mamanta Mikhuq
Qué alegre!|Atakachaw!
Qué desagrado!|Achakaw!; Atatay!; Atataw!
Regresa si puedes|Kutimuy atispaqa
Río Sagrado|Willkamayu
Sacsahuamán|Sasawaman; Saksawaman; Sasaywaman; Saqsaywaman; Saksaywaman
Secretario del Inca|hucha yachaq; huchata kamayta yachaq
Señor de los Temblores (se refiere a una estátua del Jesucristo negro entregada a la ciudad de Cuzco por Carlos V. de España, con la que marcharon en la región de Cuzco durante un temblor de tierra terrible, y la gente la considera a tener el poder de terminar temblores. Un icono poderoso para muchos sacerdotes andinos)|Taytacha Timbluris
Sipanes (un pueblo antiguo costeño)|Sipan
Sirius (lit. estrella grande, proveniencia: Sonqo)|Hatun Quyllur
Siscucha (muchachito de Chinchero)|Siskucha
Sonaja: Corona Borealis (proveniencia: Misminay)|Sunaha
Sucre (capital de Bolivia)|Chukisaka; Chuqichaka
Sucre (capital of Bolivia)|Charkas
Tahuantinsuyo|Tawantinsuyu; Tawantin suyu
Tengo que hacer|ruwanay tiyan
Tigrillo de Oro: cola del Escorpión (o mancha oscura en la cola) (proveniencia: Sonqo)|Chuqi Chinchay
Torito (nombre de una estrella, proveniencia: Misminay)|Turitu
Tío Juaniquillo, espíritu ambiguamente bueno y mal que ayuda a los mineros de Madre de Dios a encontrar oro (versión del Anchanchu en Madre de Dios)|Tiyu Q'iwiy
Urubamba|Willkamayu
Valle Sagrado|Willka Qhiswa
Venus|lusiru; pachapaqa lusiru; pachapaqariq ch'aska; illarimi ch'aska
Venus con cabellos largos|ch'aska quyllur
Vilcanota (<"princesa de la luz negra")|Willka Ñust'a
Vía Láctea|Mayu
Yo he estado en el Cuzco|Qusqupi kasqay kanmi
[1.a pers. plur. excl.]|-yku
[1.a pers. plur. incl.]|-nchiq; -nchis
[1.a pers. sing. pasado]|-rqani
[1.a pers. sing.]|-ni
[2.a pers. plur.]|-nkichis; -nkichiq
[2.a pers. sing. pasado]|-rqanki
[2.a pers. sing.]|-nki
[3.a pers. plur.]|-nku
[3.a pers. sing. pasado]|-rqan; -rqa
[3.a pers. sing.]|-n
[ACUSATIVO]|-ta
[Adverbio]|-ta
[DATIVO]|-paq; -man
[GENETIVO]|./. -p; -qpa; -q; -pa; -qpa; -q; -p; -pa
[Gerundio]|-spa; -y
[Gerundivo]|-na
[INSTRUMENTAL]|-wan
[Imperativo Plural]|-ychiq!; -ychis!
[Imperativo Singular]|-y!
[Infinitivo]|-y
[Instrumento]|-na
[LOCATIVO]|-pi
[Negación imperativo]|ama; Ama ...-chu!
[Negación indicativo]|mana ...-chu
[Número ordinal]|kaq; ñiqi; ñiqin
[PLURAL]|(-...ku/-nkichis); ./. -kuna; -s; -kuna
[Participio Perfecto Pasivo]|-sqa
[Participio Presente Activo]|-spa
[Pregunta de información]|-taq?
[Superlativo]|lliw ...-manta aswan ...; lliwmanta aswan ...
[actor]|-q
[afirmación]|ari; arí
[beneficial]|-pu-
[causativo]|-chi-
[cláusula relativa]|-sqa
[comparando]|-yna; -hina
[comparativo]|-manta aswan ...
[con que se azuza a los perros o se arrea ganado]|usha
[con que se expresa hilaridad]|ihihiy
[con que se expresa sorpresa]|wat'aq
[condicional]|-man
[conjetura]|-chi
[continuativo]|-sa-; -sha-
[contraste]|-taq
[cortesía]|-ri
[desiderativo]|-naya
[diminutivo]|-cha
[dirección hacia el hablante]|-mu-
[dolor]|Ayayaw!
[duda]|-chus
[durativo]|-sa-; -sha-
[el agente del fenómeno]|-q
[emoción]|-yá
[enlace sin sentido]|-ni-
[eufónico siguiendo consonante]|-ni-
[evidential]|-si; -s
[exclamación de alegría]|Achalaw!
[exclamación de dolor]|Atatay!; Atataw!; Achakaw!; Atakaw!
[exclamación del que siente frío]|Alalay!; Alalaw!; Alaláw!
[expresa extrañeza, asombro, sorpresa]|wa
[expresa fastidio o molestia]|ih; uh
[expresión de dolor]|Ayayaw!
[expresión que denota compasión de alguien que da lástima]|alaw!; alaw
[incoativo]|-ri-
[información 1ra mano]|-mi
[información ya conocida]|-qa
[inseguridad]|-chus
[maleficial]|-pu-
[modestia]|-lla
[morfema ordenal]|ñiqi; ñiqin
[negación indicativo]|mana
[negación]|-chu
[nominalizador]|-na
[objeto]|-ta
[ordinal que expresa sucesión, gradación]|ñiqi; ñiqin
[palabra usada como muletilla]|na
[pasado]|-rqa-; -ra-
[perfectivo]|-sqa
[plural nominal]|-kuna
[por causa]|-rayku
[pregunta (no cierta)]|-raq
[pregunta decisiva]|-chu
[pregunta que espera respuesta]|-taq?
[preterito indefinido]|-rqa-; -ra-
[pretérito histórico]|-sqa
[pretérito]|-rqa-; -ra-
[prisa]|-rqu-; -ru-
[progresivo]|-sa-; -sha-
[prohibición]|amaraq
[prohibitivo]|ama; Ama ...-chu!
[pronóstico]|-chá
[propósito]|-q riy; -na-...-paq; -napaq
[putativo]|-chá; -cha; -ch; -chi
[que expresa susto, vergüenza o el dolor producido por un golpe]|Way!
[recíproco]|-naku-
[reflexivo, pasivo]|-ku-
[reflexivo]|-ku-
[repetitivo]|-paya-; -pa-
[reportativo]|-si
[ruido de agua corriente]|ch'ultin
[ruido de beso]|ch'utuq
[ruido de bofetada]|laq'aq
[ruido de burro]|qawchi
[ruido de cerrar una cerradura]|ch'ataq
[ruido de golpe]|p'un
[ruido de golpes a la cabeza]|ñach'aq
[ruido de mascar en la boca]|k'arun
[ruido de relámpago]|lliwk lliwk
[ruido de tragar]|q'ulltin
[ruido de vadear el agua]|ch'allpaq
[ruido del picaflor]|phar
[saber personal]|-n; -mi
[sonido de golpe con martillo]|taq
[sorpresa]|-má
[subordinador]|-qti-
[susto]|Ayayaw!
[tópico]|-qa
[verbalizador]|-ya-
[énfasis]|-ri
a|-ta; -man
a (la) cual|imaqmi
a aquel lugar|haqayman
a causa de eso|chayrayku
a condición de que|uhalapis; uhalá
a consecuencia de|layku; rayku
a continuación|qhipa
a donde habrá ido|maytachus rinpis
a escondidas|pakaypakaylla
a ese lugar|chayman
a este lugar|kayman
a fines de|tukukuypi
a la izquierda|lluq'iñiqman
a la mano izquierda|lluq'iñiqman
a la otra banda|wak; waq
a las cuatro|tawa pachata
a lo largo de|wask'apamanta
a media distancia|haqay; haqiy
a menudo|ñataq-ñataq
a modo de|hina
a mí|-wa-
a otro lado|chimpa; chinpa
a otro lugar|wakman
a pesar de|chaypis; chaypas
a pesar del|chaypis; chaypas
a rodillas|qunqurchakimanta
a sabiendas|yachaspa
a ti|-su-
a través de|-nta; chawpinasqapi
a veces|mayninpi; mayninpihina; wakinniqpi; awisnin; aywis; awis; awisis; maykunapi; waqniqpi
a ver|awir
abaco andino|yupana
abajo|uraniq; uranpi; urapi; uranpi; uraniqman; uraman; ukhu; uray; urin; ura; uray; uran; urapi; uraqnipi; urin; ura
abandonado|saqisqa
abandonar|saqirpariy; saqiy; saqirpay; karunchakapuy; wich'uy; wikch'uy; wisch'uy; wischuy
abandonar de pronto|saqirpariy
abanicar|wayrachiy
abanicarse|wayrachikuy
abarca|wisku; huk'uta; uhuta; usut'a; ushuta; huk'uta #; uhut'a
abarcar|marq'ay
abarcas|uhuta; usut'a; ushuta; huk'uta #; uhut'a
abastecer (dar en alcance)|aypay
abasto|qhatu
abatido|unphu; phiqtusqa
abatir|mast'ay; urmachiy; kunpay; kumpay; maray
abatirse|q'aymarayay; ullpukuy
abceso|ch'upu; chupu
abdomen|wiqsa; wiksan; wisa; wiksa
abecedario|sanampana
abeja|wayrunq'u; wayrunqu; ch'uspi; lachiwa; lachiwana; mapa mama; misk'i ch'uspi; llachiwana; lachiwana
abeja de miel|misk'i ch'uspi
abejorro|wayrunq'u; wayrunqu
aberración|pawi; payi
abertura|wamphu; kichari; ch'iqta; uchku; raqra; kicha; laqha; hutk'u; husk'u; hutku; simi; khalla; kalla
abertura de camiseta|unkuq kunkan
abertura de un cuerpo que permite ver al otro lado|k'allka
abierto|mast'a; kichari; kichasqa; kicharisqa; phancha; phanchasqa
abierto (herida)|llint'a
abigarrado|saqsa
abismo|qaqa; qaqapana; wañuy ukhu; qhanqa
ablandar|piqtuchiy; llamp'uchay; llanp'uyachiy; hasayachiy; ñapuyay
ablandarse|llan'puyay; llamp'uyay
ablandarse con la humedad|mik'iyay
ablandarse excesivamente|q'itayay
ablución|arma
abocar|achuy
abochornar|p'inqachiy
abochornarse|p'inqakuy
abocinar|k'uktiy
abofetear|ch'aqlay; ch'aqllay; hinch'ay; laq'ay; saqmay; t'akllay; taqllay; t'aqllay
abofetear con la parte opuesta de palma de la mano|hinch'ay
abogado|marka; rimiqataq; qillqaq; qilqaq; yuyay quq; yuyaychaq; amachaq
abogar|hamachay; amachay
abolengo y casta|apuskikuna
abollado|q'aqñusqa; ñat'usqa
abolladura|phulqinqa; ch'utu
abollar|q'aqñuy; ñatuy
abombado|p'ullchu
abominable|millakuy; chiqnina; millana; millakuna
abominar|millakuy; millaykuy; chiqnipakuy
abonanzar|usyay
abonar|wanuchay; wanuy
abonar la tierra de labor|wanunchay
abono|puquq; amu; abunu; wanu
abono orgánico|wanu
