'a || a || venir de arriba abajo;desprenderse;caerse;desplomarse;caer;derrumbarse
<hetũ || a || aspirar;presagiar;percibir los olores;inhalar;presentir;adivinar;oler;sospechar;olfatear;besar;captar
<heñói || a || germinar;brotar;originarse;nacer;crecer
<hoky || c || brotar;tener brotes;retoñar;reverdecer
<hovasa || a || dar la bendición;persignar;perdonar;bendecir;santiguarse
<hupi || a || alzar;levantar;aumentar;cargar;recoger;elevar;mover algo de abajo hacia arriba;izar
<hupity || a || lograr algo;conseguir;alcanzar;obtener;adquirir
<huvaitĩ || a || salir al encuentro;toparse
<hy'ai || c || sudar
<hyahýi || c || tener ganas de orinar
<hyakuã || c || oler bien;olerse;oler;tener olor;emanar
<hyapu || a || resonar;sonar;tañir;hacer ruido;tener ruido;zumbar;retumbar
<hye || c || tener diarrea;tener vientre;tener barriga;tener panza;estar con diarrea
<hyjúi || c || echar espuma;tener espuma;estar espumoso
<hypa || c || estar carente de agua;estar seco;secarse totalmente;secarse;consumirse;estar agotado
<hypýi/<hapýi || a || rociar;salpicar;regar
<hyguatã/<hyĝuatã || c || estar harto;satisfecho
<haimbiti/<hãimbiti || c || mostrar las encías;sonreír;mostrar los dientes
<héra || c || llamarse;tener título;tener nombre;titularse
<japi || a || acertar;herir;disparar;marcharse;rumbear
<japo || a || hacer;fabricar
<javy || a || errar;equivocarse;perderse
<ñandu || a || sentir;visitar
<ñañuvã/<ñañuã || a || abrazar
aguyje/aguije || c || estar satisfecho;dar las gracias;agradecer
akãjere || c || desvanecerse;deslumbrarse;aturdirse;encandilarse;marearse
alkila || a || alquilar
amono'õ || a || coleccionar;recoger
angekói/angata || c || estar preocupado
aokyty || ai || planchar ropa;planchar
apeno || c || ondear
apichyry/apechyry || c || exudar
apysẽ || c || levantarse;despuntar;asomarse;asomar
ararecha || a || nacer
are || c || demorar;durar;perdurar;tardar
asãi || a || esparcirse;extendirse
aturu || c || estar acurrucado;tullirse;acurrucarse;encogerse;andar cabizbajo
aty || c || reunirse
atĩa || c || estornudar
añembo'euka || a || estudiar
chararã || a || crepitar;resonar
chichĩ || ai || acariciar;mimar
chinini/chini || a || chirriar
chirirĩ || a || burbujear
chovi || a || desbordar;desbordarse;rebosar
dipara || a || correr;huir de alguna responsabilidad;echar a correr
falta || a || faltar
gana || a || ganar
guahu || a || ladrar a modo de aullido prolonglado;aullir;aullar
guapy || a || reposar o sentar la comida o bebida;tomar posesión de un cargo;colocar un número en el juego de la lotería;asentarse;bajarse la hinchazón;estar sentado;deshincharse;posarse;sentarse;ir al fondo
guari || a || escapar;esconderse;equivocar el camino;desertar;huir;retirarse;escaparse;fugarse
guata || a || andar;funcionar;caminar;viajar;andar a pie
gue || a || desvanecerse;extinguirse;borrarse;apagarse;evaporarse;desaparecer;disiparse;huir;fugarse
guejy || a || bajar;aterrizar;disminuir;desembarcar;enflaquecer;descender;deshincharse;mermar;posarse;desmontarse de una caballería u otra cosa;retroceder;desmontar;bajarse
guevi || a || regresar;desandar;recular;replegarse;retroceder sin dar vuelta;retroceder;dejar sin efecto
guy || a || estar minado
guyguy || a || rebuscarse;escarbar;hurgar;rondar;moverse secretamente;murmurar;buscar entrar en todas partes;recorrer
guyru || ai || entrar debajo;limpiar de malezas rastreras;meterse por debajo;pasar por debajo;socavar o hacer zanjas por debajo;pasar un alambrado agachándose por debajo de una de las tiras
ha || a || ir;partir;irse
hai || a || trazar letras en una superficie;escribir;grabar;marcar;poner en el papel;rasguñar;tirar una línea con una pluma o lápiz;anotar;trazar;pergeñar;redactar;rayar;tachar línea o raya
hayviru'i || a || lloviznar muy finamente;lloviznar
heréi || a || rozar;lamer;tocar una cosa a otra suavemente;pasar la lengua por algo
hevykói || a || celebrar;excitar
hi'ã || irr || suponer;anhelar;antojársele a uno;desear;antojarse;ansiar;querer;parecer;parecerse
hu'u || a || tener tos;toser
hua'ĩ || a || concurrir;ir en masa;acudir
hundi || a || destruir;perder;undir
hyvi || a || desfibrar
hyvykõi || a || gozar;escarbar;remover
humbiri/hũmbiri || a || lastimar suavemente;retorcer;herir levemente la piel;exprimir;estrujar;magullar suavemente;arañar la piel;alcanzar con la punta del látigo;agrietar
ity || a || voltear;derruir;lanzar;derribar;demoler;tumbar;tirar;echar;desechar;desalojar
ja'o || a || partir;retar;insultar;separar;apedazar;agraviar;ofender;reprimir;dividir;reprender
jahe'o || a || lamentarse;sollozar;lamentar;llorar
jaho'i || a || arropar;tapar;embozar;encubrir;cobijar;cubrir;abrigar
jahu || a || bañarse;limpiarse;lavarse el cuerpo;dar molde;quitarse la mugre o la suciedad;ducharse
jahéi || a || lastimar;injuriar;desagrar;golpear;ofender;maltratar;impacientarse con enojos;disgustar
jaitypo || a || hacerse el nido;hacer nido;anidar
jajái || a || reflejar;fulgurar;centellear;resplandecerse;resplandecer;brillar;titilar;destellar;lucir
japajeréi || a || resbalar;deslizarse;revolcarse
japaro || a || caer aparatosamente;rodar;tumbarse;volcarse;desliarse;volcarse un vehículo
japasuru || a || penetrar en el cieno;penetrar;sumirse en el suelo blando;irrumpir desordenadamente en un sitio;zambullirse;hundirse en el barro
japete || a || herir con la mano;rebocar;pegar o golpear con la mano;tirar con violencia y enojo al suelo cualquier cosa;golpear;chocar contra el suelo o contra algo con violencia;fijar barro o mezcla en la pared
japichy || a || pasar la mano;atusar;friccionar;friccionarse;posar las manos sobre la piel de una persona en son de adulo;acariciar;alisar;acariciar con las manos;frotar con las manos
japiro || a || descubrir el bálano;pelarse el pene;errar;descubrir el balano;errar en la cuenta;pelar el prepucio;masturbarse;fracasar en algo
japo'i || a || tener en poco
japouka || a || fabricar;ordenar una acción
japu || c || ilusionar;perjurar;embaucar;mentir;engañar
japyhy || ai || juntarse carnalmente;asir;aprehender;capturar;atrapar;tomar;coger;captar;prestar atención;prender;agarrarse;fornicar;agarrar
japysaka || a || escuchar bien;levantar la oreja;prestar atención para escuchar algo;escuchar;poner atención con el oido;atender
jarivo'o || a || sacarse el aguijón de una picadura de insecto;vengarse;retar;reprender
javo'o || a || recoger;coger;tomar;agarrar;desplumar
javyky || a || herir furtivamente con hechizos;palpar;manosear;hurgar;tocar furtivamente o ligeramente;espulgar;toquetear;embrujar;masturbar
jayvy || a || iclinarse;agacharse;doblarse hacia delante;inclinar el buasto hacie el frente
je'e || irr || se dice
je'o || a || desteñirse;descolorarse;palidecer;borrarse;desmancharse;despintarse
je'oi || a || acudir;concorrer
jeguaru || a || sentir repugnancia;tener asco de algo;tener repugnancia;asquearse;repugnarse;tener náuseas
jehe'a || a || juntarse;mezclar;combinarse;relacionarse;confundirse;mezclarse;familiarizarse
jeheka || a || rebuscarse;procurarse ciertos beneficios;buscarse;comerciar;procurarse lo necesario para vivir;vender cosas;recursear;dedicarse
jehekýi || a || evadirse;zafarse;desencajarse;escapar;resarcirse;desprenderse;huir;escaparse;ladearse;retirarse;salirse;esquivarse;librarse del peligro
jehu || a || acaecer;acontecer;encontrarse;suceder;ocurrir;servir
jei || a || desistir;desprenderse;abandonar;liberarse;dejar;quitarse;irse;separarse;salir;abrirse;esquivar;retirarse;permitir;desamparar;desatender;desechar;apartarse
jejavy || a || errarse;equivocarse;confundirse;estar errado;perderse
jejavyky || a || toquetearse;tocarse una cosa sin permizo;manosearse;ser robado;espulgarse;tocarse;masturbarse;ser tocado
jejoko || a || coercerse;atajarse;supenderse;contenerse;sujetarse;aguantarse;apoyarse;sostenerse;agarrarse;apuntalarse;coercer;refrenarse
jejuhu || a || topetarse;hallarse;encontrarse;ser encontrado;encontrar novio o novia;ser hallado
jeka || a || dejarse;desvincularse;explotar;no dar importancia;rajarse;separarse de alguien;agrietarse;romperse;quebrarse;estallar
jekojoja || a || coexistir
jekuaa || a || ser visto;saberse;constar;conocerse;divisarse;ser conocido;conocerse a así mismo;aparecer
jepe'e || a || calentarse;calentarse al fuego o cerca del brasero
jepoapi || a || equivocarse;tomar a un individuo por otro;confundirse;equivocarse sobre la identidad de una persona
jepohéi || a || abandonar;dejar;lavarse las manos
jepokuaa || a || aquerenciarse;acostumbrarse;encariñarse;habituarse
jeporu/jepuru || a || ser útil;elevarse;turnarse;prestarse;usarse;emplearse;utilizarse
jepy'apy || a || angustiarse;exacerbarse;afligirse;compadecer;apenarse;sufrir;preocuparse
jepytaso || a || oponerse;mantenerse firme;poner en tensión las piernas;estribar;esforzarse;empinarse;apoyar;resistir;afirmarse de pies;afirmarse en el suelo;ponerse firme de pie
jera || a || desenredarse;desligarse;abrirse una flor;descocerse;soltarse;pacificarse;desenojarse;desatarse;desenlazarse;libertarse;abrirse;despabilarse de la borrachera;desceñirse;desembriagarse;abuenarse;desemborracharse
jere || a || torcer;regresar;cambiar de ideas;retornar;girarse;volverse;volver;rodar;rodear;girar;tornarse;revolverse;darse vuelta;cambiar de opinión
jereko || a || cuidarse
jererojy || a || inclinarse
jero'a || c || inclinarse;ladearse;reclinarse
jeroja || a || acarrear;transportar;arrimarse;acercarse
jerojy || a || bajar;arrancar;adorar;descolgar;hacer genuflexiones;doblar la rodilla en la danza;hacer reverencias en genuflexión;saludar a dios con reverencias;descalzar;reverenciar
jeroky || a || bailar;danzar;arrodillarse
jerokyha || vtr || baile
jerovia || a || confiar;creer en otros;tener confianza;confiarse;creerse;fiarse
jerure || a || imperar;rogar;invocar;demandar;reclamar;requerir;suplicar;pedir;solicitar
jesape'a || a || ilustrarse;enterarse;atender;abrir los ojos;informarse;darse cuenta
jesareko || a || embelesarse;prestar atención;observar;contemplar;fijarse;atender
jetavy'o || a || ilustrarse;aprender;aplicarse;estudiar;instruirse
jetepyso || a || estirar o extender el cuerpo;estirarse;hacer deporte;gimnasia;hacer gimnasia;desentumecerse;desperezarse
jetyvyro || a || librarse;librarse desprenderse;precipitarse;respingar;agitarse;sacudirse
jo'a || a || repetir;superponer;doblar;insistir;añadir;encimar;reiterar
jo'o || a || ovillar;investigar;cavar;insistir;arar;excavar;hacer oyo en la tierra, la madera
joavy || a || diferenciar;distinguirse;diferenciarse;contender;desentender;variar;altercar;desavenir;ser diferente;desacordar;desencontrar;desigualarse;divergir;disentir
jogapo || a || construirse la casa;edificarse la casa edificar para sí;construirse;hacerse de casa o vivienda
jogua || a || comparar;semejar;parecer;comprar;asemejar;parecerse
johéi || a || enjuagar;lavar;limpiar;purificar
joja || a || ser iguales;igualarse;empatarse;emparejarse;juntar;coincidir;empatar;aparejarse;unirse;unir;parecerse
jojuhu || a || encontrarse;encontrarse uno con otro
jojái || a || burlarse;reir burlonamente
jojói || c || hartarse;tener hipo
joka || a || agrietar;quitar la vaina;romper;quebrar;romper o rajar;dividir en rajas o trozos;destrozar
joko || a || parar;sujetar;contener;impedir;apuntalar;apoyar;soportar;suspender;retener;aguantar;detener;sostener;evitar;atajar
jokua || a || uncir;sujetar;pegar repentinamente y con violencia;ligar;armar;castigar;golpear;atar;dar un golpe;amarrar
jokuaa || a || conocerse dos o más personas entre sí;conocerse;conocerse uno a otro
jokuái || a || emplear;ocupar;mandar para encargo;ocupar a alguien;enviar a uno;gobernar
jope || a || quemar superficialmente;calentar;calentar suavemente o lentamente al sol o al fuego
jopi || a || punzar;picar;fijar su aguijón la vispa;causar picazón;picar un insecto;aguijonear
jopy || a || estrechar;imprimir;apretar;oprimir;exprimir;estrujar;prensar;ajustar;ceñir;aplastar
jopyru || a || turnar;sustituirse;reemplazar;alternarse;turnarse;reeemplazarse;reemplazarse;relevarse
jopói || a || obsequiar;donar;ayudarse mutuamente;regalar;convidar;regalarse mútuamente o recíprocamente
jora || a || soltar;soltar lo que está atado;librar;desatar
joso || a || apisonar;pisotear;quebrantar;majar en mortero;triturar;pisar;golpear;machacar;moler;pisar con mano de mortero o pizón
jovái || a || enfrentarse
ju || a || venir
juasa || a || cruzarse con golpes de puño o armas;encontrarse;cruzarse con una persona en el camino o cosa con otra;pasarse;cruzarse;desencontrarse
juavy || a || diferenciar;desavenir;diferenciarse;contender;desigualar;desentender;variar;altercar;distinguirse;ser diferente;desacordar;desencontrar;divergir;disentir
juhu/johu || a || hallar;encontrar;descubrir
juka || a || matar
juku'a || a || fatigarse;jadear
jupi || a || escalar;subir;montar;ascender;trepar;levantar;progresar
jurujái || c || admirarse
juvy || a || estrangular;ahorcar;ahogar;apretar el cuello
jy || a || cocerse;cocinarse
jykýi || a || desgranar
ka'api || a || cortar de raíz las hierbas o el pasto;carpir;carpir con azada;limpiar con la asada de hierbas el terreno;cortar el pasto
kacha || a || caminar como un borracho;bambolearse;moverse de un lado a otro sin salir del camino;menearse;tambalearse;sacudirse
kaigue || c || no tener ganas;estar sin ganas;aburrirse
kaka || a || cagar;defecar;ir de cuerpo;obrar;evacuar el vientre
kakuaa || a || elevarse;aumentar de tamaño;criarse;desarrollarse;aumentar;crecer
kambu || a || mamar;aprovecharse de una situación favorable;sorber;chupar;succionar
kapa || a || extirpar los testículos;podar;castrar;desmochar;capar
kapu || a || reventar;fracasar;estallar;explotar;largar;tirar;disparar
karu || a || ingerir o tomar alimento;masticar y tragar los alimentos;comer;ser comilón
karãi || ai || arañar;grabar;roer;rasguñar;raspar;rascar;peinar
kay'u || a || beber té de yerba mate;tomar mate;matear
kañy || a || perderse;zafarse;escapar;esconderse;perdersele a uno;huir;extraviarse;desorientarse;perder;desertar;ocultarse;esconder;desaparecer;tener duda
kerai || a || estar medio dormido;hablar en sueño;soñar;moverse en sueños;accionar medio dormido
kirirĩ || a || guardar silencio;callarse
ko || ai || vivir;cuidar de;habitar;andar;existir
ko'i || a || concurrir;acudir en grupo;acudir
ko'õ || ai || importunar;irritar;escocer;causar escozor;ofender;molestar
ko'õi || ai || importunar;ofender;irritar;molestar
ko'ẽ || c || amanecer
kokore || a || cacarear;graznar
kopi || a || hablar mal del prójimo;hostigar;criticar;ir con chisme contra el compañero;rozar;desmalezar
kororõ || a || roncar;gruñir;rugir;bramar
korói || a || reprender;reconvenir;reñir
kotevẽ || ai || carecer de algo;ser pobre;necesitar;pasar necesidades;precisar;deber
kove || ai || vivir;existir;tener existencia;subsistir;tener vida
ku'a || a || cercar
ku'e || a || aflojarse;arrancar;tambalear;ponerse en movimiento;movilizarse;oscilar;trasladarse;ceder;moverse;ponerse en camino;desplazarse;bambolearse
kuaa || ai || comprender;enterarse;conocer;saber;entender
kuaru || a || orinar;mear;hacer pipi;hacer piz
kuave'ẽ || ai || ofrecer;regalar;ofertar;presentar;convidar;invitar
kuera || a || sanarse;curarse;sanar;cicatrizar;convalecer
kuerái || a || estar harto;aburrirse;fastidiarse;estar hastiado
kukúi || a || temblar;desprenderse;caer;acudir
kumby/kũmby || ai || entender;gustar de revolver en la boca con la lengua;relamerse los labios;tener ideas claras de las cosas;probar;probarse;saborear;succionar;paladear;captar
kundaha || ai || peregrinar;ir y venir de mucha gente;vagar;investigar;merodear;indagar;averiguar;andar suelto de un lugar para otro;recorrer
kuru || a || estar clueca
kuruchĩ || c || arrugarse;encogerse;tullirse;hacerse un ovillo;aterirse;acurrucarse por efecto del frio u otro motivo;acalambrarse
kutu || ai || pungir;espinar o punzar con espinas;pinchar;aguijar;herir;clavar;inferir herida punzante;hincar;topetar
ky || a || llover
ky'a'o || ai || lavar;bañar;asear;limpiar;quitar la mugre
kyhyje || a || tener miedo;temer
kyre'ỹ || c || tener ganas
kyty || ai || fregar;fricar;frotar;refregar;restregar;estrujar;pasar la rodilla o trapo;lucir
kytĩ || ai || cortar
kái || a || quemarse;incinerar;escaldar;requemarse
kúi || a || despegarse;soltarse;desprenderse;caerse;separarse;perder el empleo;perder una posición pirviligada;caer
lekaja || c || estar viejo
liga || a || conseguir algo;conseguir
ma'ẽ || a || mirar simplemente;mirar;vigilar;observar;contemplar;presenciar;fijarse;atender
malisia || a || suponer;pensar;figurar;presumir;creer;congeturar;opinar;sospechar;parecer;imaginar;aparentar
mandu'a || c || recordarse;evocar;conmemorar;rememorar;acordarse;memorar;recordar
mano || a || perecer;morirse;dejar de vivir;morir;yacer;expirar;sucumbir;fallecer;perder la vida
marcha || a || funcionar
maña || a || mirar con cuidado;observar un punto o lugar;fijar la vista en un objeto aplicando atención;mirar;vigilar;observar;dar un vistazo;espiar;atisbar;fijarse
mba'apo || a || funcionar;obrar;laborar;producir;trabajar;actuar
mba'embyasy || c || estar triste;entristecer
mbo'a || a || aovar;desovar;avacuar;poner huevos
mbo'e || a || aleccionar;instruir;ilustrar;designar;acostumbrar;enseñar;adiestrar;educar;adoctrinar;encaminar
mbo'i || a || partir;descuartizar;desmenuzar;despedazar;partir en partes minúsculas;romper;desmembrar;triturar;dividir;trozar
mbo'y || a || aguar;regar;inundar
mboaje || a || importar;cumplir;conformar;satisfacer;estimar;dar importancia;practicar;obedecer;acatar;respetar;complacer;hacer valer;permitir
mboaju || a || sazonar;madurar;molestar;hacer madurar
mboapajeréi || a || voltear;invertir;revolcar;rodar;hacer dar vueltas varias veces;hacer rodar
mboapia || a || circuncidar
mboavevo || a || esponjar;abonar;hinchar;aventar;cavar;ablandar;inflar;hacer que una cosa aumente de volumen;remover la tierra
mbochyryry || a || hacer freir;freir;hacer fritar;freír;fritar
mboguejy || a || bajar;poner en sitio inferior;descargar;hacer bajar;descolgar
mboguevi || a || hacer recular;hacer retroceder;arredrar;hacer volver hacia atrás
mbohakua || a || sacar punto;hacer o sacar punta;agudizar;hacer aguda la punta
mbohasa || a || superar;tolerar;diferir;transferir;entregar;traducir;hacer pasar;pasar
mbohe || a || dar sabor;sazonar;hacer sabroso;hacer apetitoso;hacer rico;adobar;condimentar
mbohetia'e || a || ocacionar buen humor;reanimar;desperezar;vivificar;alegrar;alentar;estimular;poner de buen humor;avivar;hacer alegrar;animar;reconfortar
mbohory || a || recrear;proporcionar alegría;divertir;agradar;alegrar;contentar;festejar;encantar
mbohovái || a || encarar;replicar;oponerse;impugnar;desobedecer;pleitear;contestar;responder;contradecir;discutir;objetar;enfrentar
mbohupa || a || hospedar;alojar;albergar;visitar
mbohypa || a || secar;agotar;hacer secar un lugar húmedo;hacer evaporar un líquido;agotar un pozo de agua;desaguar
mboja || a || imputar;soldar;aproximar;implicar;juntar;unir;arrimar;encolar;acusar;inculpar;adherir;atribuir;pegar;culpar;acercar;lindar;colar
mboja'o || a || repartir;partir en dos;hacer participe de;compartir;rebanar;trinchar;dividir;partir apoderándose;despedazar;seccionar;distribuir;pedazar
mbojaru || a || burlarse;embromar;jugar;chancear;jugar cariñosamente;hacer broma;acariciar;bromear;retozar
mboje'o || a || limpiar;despintar;borrar;hacer desaparecer;desteñir;descolorar
mbojegua || a || exornar;acicalar;ornamentar;ataviar;empavezar;hacer adornar;aliñar;enjoyar;decorar;adornar;engalanar;lucir
mbojere || a || dar la vuelta;voltear;dar vuelta;tornear;circundar;rodear;traducir;revolver;hacer rodar
mbojerovia || a || acreditar;hacer un favor;convenser;dar confianza en uno;honrar;mimar;estimar;condescender;consentir;persuadir;complacer;distinguir;reverenciar
mbojo'a || a || encimar;añadir encima;amontonar;agregar;acumular
mbojoapy || a || alargar;continuar;incorporar;agregar;añadir;reunir;unir;unificar
mbojoja || a || afinar;medir;parear;ajustar;aplanar o poner al ras;comparar;empatar;emparejar;uniformar;equiparar;igualar
mbojopyru || a || hacer por turno;alternar;substituir;turnar
mbojoaju/mbojuaju || a || mancomunar;ligar;doblar en cantidad;juntar;vincular;casar;reunir;recargar;añadir;unir;adherir;sumar;redoblar;acollarar;unificar;encimar
mbojuasa || a || atravesar;cruzar
mbojuruhe || a || estimular el apetito;dar apetite;abrir el apetito;hacer agua la boca;causar o dar apetito
mbokapu || a || hacer estallar;eyacular;dar fuego;tirar;disparar con arma de fuego
mbokua || a || pasar adelante dejando otro atrás;agujerear;sonsacar a uno algo con maña;hacer un hoyo;horadar;perforar;ahuecar;taladrar;pedir prestado;escavar;pasar
mbopara || a || colorear;policromar;pintar;pintar de color moteado;manchar;pintar de varios colores;matizar;adornar
mbopi || a || parar una acción como la fiebre o lluvia;hacer cesar la lluvia;circuncidar
mbopu || a || sonar;hacer explotar una bomba;ejecutar un instrumento musical;detonar;tocar la campana;tocar
mbopuku || a || demorar;transtornar;extender;alargar;estirar;prolongar;dilatar
mbopy'akyrỹi || a || enternecer;emocionar
mbopy'apy || a || preocupar
mbopyahu || a || modernizar;renovar;innovar;actualizar;restaurar
mborari || a || reanimar;estimar;estimular;hacer que sea ágil;hacer brincar;avivar;hacer desconfiar;animar
mboro || a || amargar
mboryrýi || a || hacer temblar;causar vibración
mbosako'i || a || aprontar;predisponer;equipar;alistar;disponer lo necesario para viajar;preparar;alistar o aparejar
mbosarái || a || vejar;torturar
mbosununu || a || hacer tronar;atronar
mbota || a || golpear en la puerta llamando;golpear;chocar;golpear contra algo
mbotavy || a || defraudar;embromar;engañar;embaucar;atontar;burlar;estafar;embelesar;trampear;seducir
mbotuicha || a || magnificar;engrandecer;engreir;ensorberbecer;agrandar;estirar;aumentar;abultar;ensalzar;inflar;enaltecer;enorgullecerse;exaltar
mboty || a || taponar;obstruir;cumplir;recluir;trancar;tapar;abrochar;clausurar;tapiar;encerrar;cerrar
mbotyryry || a || arrastrar;remolcar;rozar;pasar una cosa frotando la superficie de otra
mbou || a || remitir;atraer;ser enviado;enviar;enviar hacia aca;hacer venir;mandar traer
mbova || a || mudar;transplantar
mbovu || a || entumecer;enorgullecer;aventar;hinchar;henchir;inflar;batir huevo
mbovyvy || a || urdir;hacerse la costura;tejer;coser;tramar;hilvanar;remendar una prenda;suturar;remendar;costurar;zurcir
mboy'u || a || embeber;sorber;dar de beber o tomar agua;beber;abrevar;dar de beber
mboyga || a || filtrar
mboyke || a || inclinar;marginar;desatender;declinar;apartar;ladear;volcar algún objeto;postergar;soslayar;dejar de lado;relegar
mboypi || a || secar;amargar la vida;enflaquecer;deshidratar;enjutar
mboyvytimbo || a || levantar polvo
mbuahéi || a || amargar
mbuekovia || a || retribuir;substituir;recompensar;reemplazar;relevar;permutar;trocar;contestar;suplantar;sustituir;cambiar
mbyai || a || destruir;llagar;estropear;desordenar;perjudicar;descomponer;desarmar;corromper;enllagar;desbaratar;dañar;ulcerar;deteriorar;podrir;desareglar;hacer llaga;deshacer;pervertir
mbyaje || a || atrasar;demorar
mbyaju || a || hartar;cansar;aburrir;hastiar;fastidiar;molestar;empalagar
mbyaku || a || excitar;acalorar;enardecer;encolerizar;calentar
mbyaty || a || agrupar;recolectar;encimar;cosechar;reunir;atesorar;juntar;recoger;acumular;amontonar
mbyry'ái || c || tener calor
me || ai || existir;vivir;ser;permanecer;estar
me'ẽ || a || otorgar;dar;conceder;impartir;regalar;contribuir;ceder;entregar;permitir;dedicar
me'ẽtekotevẽrã || a || proveer
menda || a || casarse;desposarse;contraer matrimonio
mimbi || a || reflejar;fulgurar;centellear;resplandecerse;resplandecer;brillar;titilar;destellar;lucir
minga || a || cooperar;ayudarse por turno;ayudarse mútuamente
moakãnga'u || a || marear;atontar;aturdir
moakãpytĩ || a || poner patas arriba
moakãraku || a || apasionar;enamorar;estimular;entusiasmar;enardecer;animar
moakãrasy || a || dar dolor de cabeza;causar dolor de cabeza;preocupar
moambue || a || modificar;variar;reemplazar una cosa por otra;cambiar
moangapyhy/moãngapyhy || a || calmar;servir;satisfacer;contentar;complacer;administrar;consolar
moapeno || a || causar roncha;hinchar;causar equimosis
moapesỹi || a || pulir;cepillar;pulimentar;alisar;péinar;limar
moatã || a || motivar;robustecer;fortalecer
moaĝe || a || acelerar;apresurar
moha'anga/moha'ãnga || a || formar;ilustrar;dibujar;grabar;marcar;representar;esculpir;modelar
mohatã || a || endurecer
mohemby || a || dejar resto;ahorrar;hacer sobrar;sustraer;reservar;economizar;dejar el resto;dejar sobrante
mohenda || a || posicionar;dar lugar;apuntar;ordenar;asentar;ubicar;colocar o poner en su lugar;acomodar;situar;establecer
moherakuã || a || divulgar;publicar
moherã || a || dudar;poner en duda una cosa;hacer dudar;vacilar
mohesakã || a || transparentar;hacer visible;explicar;traslumbrar;hacer transparente;aclarar casos dudosos;diafanizar;deslumbrar;disipar neblina;aclarar;poner en claro;esclarecer
moinge || a || incorporar;penetrar;meter;introducir;poner adentro
